question,answer,filename,slide_number
"Как за 10 лет изменилось количество телепрограмм, привлекающих более 4-х млн. зрителей в Великобритании?","Сократилось более, чем на 50%",32,34
Какие партнёры у компании MediaDesk?,"Radar, Platforma, Эвотор, Tiburon, Яндекс Метрика, Similarweb, Amberdata, LiveInternet",0,9
Сколько процентов респондентов счыитают использование LinkedIn в качестве платформы для размещения рекламы в 2024 году абсолютно неудобным?,6,24,69
"Почему Facebook остаётся значимой платформой для возрастной группы 35-70 лет, несмотря на ограничения и конкуренцию со стороны других платформ?","Facebook ориентирован на зрелую аудиторию, привлекая пользователей контентом для общения и информационного обмена. Рост на +700 млн пользователей подтверждает его востребованность в данной возрастной категории, даже в условиях ограничений.",24,322
Как ВКонтакте поддерживает свою популярность в России на фоне конкуренции и запретов в других странах?,"Несмотря на ограничения на Украине и в Туркменистане, ВКонтакте поддерживает высокий уровень вовлечённости в России благодаря локальному контенту и акценту на ведение блогов и публикацию клипов, что привлекает широкую аудиторию — более 60% российского населения.",24,322
С какой даты наблюдается присот охвата сети Одноклассники?,с 14 марта 2022 года,24,358
Какова причина увеличения пользователей сети Одноклассники?,блокировка Instagram,24,358
Кто такая Подлегаева Светлана?,СОО Компании MediaDesk,0,2
Сколько лет на рынке digital-рекламы Подлегаева Светлана?,Больше 20 лет,0,2
На каких позициях работала Подлегаева Светлана?,"Работала на позициях CDO, CDTO в международных и российских компаниях",0,2
Для кого доступен рекламный кабинет на платформе Yappy?,Только для юридических лиц,24,400
Какие возможности у слабого narrow AI?,Получение информации и первичная обработка данных. Сортировка информации по блокам и обобщение,0,4
Какие возможности у сильного AI?,Построение объективных выводов и прогнозирование будущего,0,4
Какие возможности у супер-ии super AI?,"Субъектность, рефлексия, мотивировка принятия решений",0,4
Особенности трейдингового модуля?,"DSP и SSP, кросс-частота, автоматическая оптимизация, гарантия качества",0,11
Особенности платформы управления данными?,"Партнеры, качество данных, кастомные сегменты, stable id",0,9
